Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Baden-Württemberg                       
427,Berlin Brandenburg                      ,   52.380702,   13.530576,         45.6,Baden-Württemberg                       
430,Berlin-Tegel                            ,   52.564402,   13.308805,         35.5,Baden-Württemberg                       
433,Berlin-Tempelhof                        ,   52.467451,    13.40212,48,Baden-Württemberg                       
435,Berlin-Zehlendorf                       ,   52.428902,   13.232686,45,Baden-Württemberg                       
445,Bernburg/Saale (Nord)                   ,   51.821792,    11.71098,         84.5,Baden-Württemberg                       
450,Bernkastel-Kues                         ,     49.9186,      7.0664,120,Baden-Württemberg                       
460,Berus                                   ,   49.264065,     6.68677,363,Baden-Württemberg                       
474,Warthausen-Birkenhard                   ,    48.12517,    9.763868,599,Baden-Württemberg                       
480,Biedenkopf-Wallau                       ,    50.92751,    8.493681,296,Baden-Württemberg                       
535,Blankenrath                             ,   50.037229,    7.307861,417,Baden-Württemberg                       
591,Boizenburg                              ,   53.391093,    10.68781,45,Baden-Württemberg                       
596,Boltenhagen                             ,   54.002724,    11.19082,15,Baden-Württemberg                       
599,Bonn-Friesdorf                          ,   50.705468,     7.14673,62,Baden-Württemberg                       
619,Borkum-Süderstraße                      ,   53.578793,    6.670348,         11.6,Baden-Württemberg                       
648,Brande-Hörnerkirchen                    ,   53.855114,     9.71521,9,Baden-Württemberg                       
656,Braunlage                               ,   51.723383,   10.602109,        607.3,Baden-Württemberg                       
662,Braunschweig                            ,   52.291469,   10.446448,         81.4,Baden-Württemberg                       
691,Bremen                                  ,    53.04507,    8.798084,4,Baden-Württemberg                       
701,Bremerhaven                             ,    53.53321,    8.576089,          6.5,Baden-Württemberg                       
717,Brilon                                  ,   51.387293,    8.573713,443,Baden-Württemberg                       
722,Brocken                                 ,   51.798615,    10.61828,       1134.7,Baden-Württemberg                       
727,Brombachtal-Kirch-Brombach              ,   49.734483,    8.955669,290,Baden-Württemberg                       
736,Brücken                                 ,   49.630291,    7.114838,390,Baden-Württemberg                       
755,Buchen,   49.518196,     9.32127,340,Baden-Württemberg                       
772,Bühlertal                               ,     48.6957,    8.174389,190,Baden-Württemberg                       
807,Schlüsselfeld (Kläranlage)              ,    49.74499,   10.643423,290,Baden-Württemberg                       
817,Burgwald-Bottendorf                     ,   51.030568,    8.814605,293,Baden-Württemberg                       
851,Pemfling-Pitzling                       ,    49.25044,   12.604179,        391.5,Baden-Württemberg                       
853,Chemnitz                                ,   50.791286,   12.871977,        416.1,Baden-Württemberg                       
863,Clausthal-Zellerfeld                    ,   51.790354,   10.347039,585,Baden-Württemberg                       
867,Lautertal-Oberlauter                    ,   50.306639,   10.967938,        343.8,Baden-Württemberg                       
880,Cottbus                                 ,   51.775922,   14.316796,69,Baden-Württemberg                       
881,Crailsheim-Alexandersreut               ,   49.098476,   10.097896,423,Baden-Württemberg                       
891,Cuxhaven                                ,   53.871254,    8.705821,5,Baden-Württemberg                       
920,Darmstadt (US-Air-Base)                 ,   49.856368,    8.592921,        107.5,Baden-Württemberg                       
953,Deuselbach                              ,   49.761875,    7.054249,        480.5,Baden-Württemberg                       
963,Diepholz                                ,   52.588112,    8.342405,         37.7,Baden-Württemberg                       
979,Dillenburg                              ,   50.736371,    8.267238,314,Baden-Württemberg                       
982,Dillingen/Donau                         ,   48.570123,   10.498459,420,Baden-Württemberg                       
998,Dobel                                   ,   48.796789,    8.492143,696,Baden-Württemberg                       
1001,Doberlug-Kirchhain                      ,   51.645071,   13.574714,         96.8,Baden-Württemberg                       
1018,Donaueschingen                          ,   47.942187,    8.504647,677,Baden-Württemberg                       
1032,Dortmund                                ,   51.511976,    7.534469,120,Baden-Württemberg                       
1048,Dresden-Klotzsche                       ,   51.127797,   13.754251,        227.6,Baden-Württemberg                       
1050,Dresden-Hosterwitz                      ,   51.022068,   13.847006,112,Baden-Württemberg                       
1053,Driburg,   51.733655,    9.044538,192,Baden-Württemberg                       
1072,Dürkheim,   49.471913,    8.192896,107,Baden-Württemberg                       
1076,Dürrheim,   48.013478,    8.534342,692,Baden-Württemberg                       
1079,Düsseldorf-Südfriedhof                  ,   51.199811,    6.757388,37,Baden-Württemberg                       
1087,Duisburg-Laar                           ,   51.463381,    6.732091,21,Baden-Württemberg                       
1093,Eberbach                                ,   49.459307,    8.959463,131,Bayern                                  
1107,Ebrach                                  ,   49.851954,   10.499124,        345.5,Bayern                                  
1161,Eichstätt-Landershofen                  ,   48.877749,    11.23488,384,Bayern                                  
1172,Einbeck                                 ,   51.818948,    9.887109,123,Bayern                                  
1197,Ellwangen-Rindelbach                    ,   48.989498,   10.131234,460,Bayern                                  
1201,Elsdorf/Erftkreis                       ,   50.928142,    6.564617,85,Bayern                                  
1207,Elster,    50.27046,   12.274171,        557.5,Bayern                                  
1229,Ems,   50.332412,     7.69745,90,Bayern                                  
1238,Engelskirchen                           ,   50.988436,    7.424988,144,Bayern                                  
1254,Eppingen                                ,   49.130652,     8.91648,210,Bayern                                  
1266,Erfde                                   ,   54.299212,    9.316185,18,Bayern                                  
1270,Erfurt-Weimar                           ,   50.982887,   10.960753,316,Bayern                                  
1279,Möhrendorf-Kleinseebach                 ,   49.649749,   11.007464,        267.5,Bayern                                  
1297,Eschwege                                ,   51.204132,   10.013767,156,Bayern                                  
1300,Eslohe                                  ,    51.25399,     8.15653,351,Bayern                                  
1303,Essen-Bredeney                          ,   51.404085,    6.967741,150,Bayern                                  
1327,Weilerswist-Lommersum                   ,   50.711886,    6.790489,147,Bayern                                  
1329,Eutin                                   ,   54.133987,   10.586466,50,Bayern                                  
1346,Feldberg/Schwarzwald                    ,   47.874893,    8.003817,       1489.6,Bayern                                  
1357,Fichtelberg/Oberfranken-Hüttstadl       ,   49.980702,   11.837601,        654.5,Bayern                                  
1358,Fichtelberg                             ,   50.428295,   12.953583,1213,Bayern                                  
1410,Frankenhausen/Kyffhäuser,   51.351209,   11.095832,130,Bayern                                  
1411,Birx/Rhön                               ,    50.53092,   10.047947,747,Bayern                                  
1420,Frankfurt/Main                          ,   50.025911,    8.521294,         99.7,Bayern                                  
1441,Freiberg                                ,   50.926306,   13.271085,416,Bayern                                  
1443,Freiburg                                ,   48.023242,    7.834292,        236.5,Bayern                                  
1468,Freudenstadt                            ,   48.453828,    8.408952,        796.5,Bayern                                  
1492,Malsburg-Marzell-Friedrichsheim         ,   47.781903,    7.734756,852,Bayern                                  
1503,Friesoythe-Altenoythe                   ,   53.064301,    7.901969,          5.7,Bayern                                  
1526,Fulda-Horas                             ,   50.566786,    9.653221,242,Bayern                                  
1544,Gardelegen                              ,   52.512889,   11.394174,47,Bayern                                  
1550,Garmisch-Partenkirchen                  ,   47.482989,   11.062126,        719.3,Bayern                                  
1580,Geisenheim                              ,   49.985894,    7.954826,        110.2,Bayern                                  
1590,Geldern-Walbeck                         ,   51.494168,    6.246343,37,Bayern                                  
1605,Genthin                                 ,   52.387511,   12.160174,35,Bayern                                  
1612,Gera-Leumnitz                           ,   50.881208,   12.128885,311,Bayern                                  
1619,Gernsheim                               ,   49.762199,    8.488697,90,Bayern                                  
1639,Gießen/Wettenberg                       ,   50.601715,    8.643898,        203.2,Bayern                                  
1645,Gilserberg-Moischeid                    ,   50.965565,    9.050014,340,Bayern                                  
1667,Glückstadt                              ,    53.79702,    9.429456,1,Bayern                                  
1684,Görlitz                                 ,   51.162129,   14.950606,        238.5,Bayern                                  
1689,Gößweinstein                            ,   49.765641,   11.306236,441,Bayern                                  
1691,Göttingen                               ,   51.500248,    9.950659,        167.4,Bayern                                  
1694,Goldberg                                ,   53.605834,   12.103404,58,Bayern                                  
1735,Grainet-Rehberg                         ,    48.78935,   13.629026,628,Bayern                                  
1748,Grebenhain-Herchenhain                  ,   50.478799,    9.262017,608,Bayern                                  
1762,Greiz-Dölau                             ,   50.624899,   12.177683,270,Bayern                                  
1873,Grund,   51.795553,   10.237956,300,Bayern                                  
1875,Gschwend,   48.935378,    9.736363,492,Bayern                                  
1891,Rheda-Wiedenbrück-Lintel                ,   51.877017,    8.357671,         72.5,Bayern                                  
1929,Hahnenklee                              ,   51.859746,    10.33684,567,Bayern                                  
1957,Halle-Kröllwitz                         ,   51.513769,   11.949933,93,Bayern                                  
1964,Olsdorf                                 ,   49.944479,     6.38211,328,Bayern                                  
1975,Hamburg-Fuhlsbüttel                     ,   53.633172,    9.988102,         10.7,Bayern                                  
1981,Hamburg-Neuwiedenthal                   ,   53.477658,    9.895686,3,Bayern                                  
1987,Hamburg-Sankt Pauli                     ,   53.546681,    9.966227,         47.2,Bayern                                  
1990,Hamburg-Wandsbek                        ,   53.585347,   10.129348,18,Bayern                                  
1993,Hameln                                  ,   52.084784,    9.389576,68,Bayern                                  
2005,Hankensbüttel                           ,   52.719949,   10.598687,108,Bayern                                  
2014,Hannover                                ,   52.464428,    9.677906,         55.2,Bayern                                  
2039,Harzburg,   51.900249,   10.569851,201,Bayern                                  
2044,Harzgerode                              ,   51.651967,   11.136645,404,Bayern                                  
2074,Hechingen                               ,   48.375242,    8.980031,        517.5,Bayern                                  
2078,Weddingstedt                            ,    54.21807,    9.085307,10,Bayern                                  
2080,Heidelberg                              ,   49.420618,    8.667613,110,Bayern                                  
2088,Heidenheim/Brenz                        ,   48.684941,   10.141978,522,Bayern                                  
2092,Heidenrod-Mappershain                   ,   50.169131,    7.994907,496,Bayern                                  
2095,Heilbronn                               ,   49.144752,    9.233334,167,Bayern                                  
2110,Heinsberg-Schleiden                     ,   51.041072,    6.104239,57,Bayern                                  
2115,Helgoland                               ,   54.174971,    7.891995,          4.4,Bayern                                  
2120,Helmstedt                               ,   52.216409,    11.02193,140,Bayern                                  
2122,Helse,   53.970098,    9.009522,2,Bayern                                  
2147,Herford                                 ,   52.126408,     8.68649,77,Bayern                                  
2151,Herleshausen                            ,   51.004843,   10.170476,215,Bayern                                  
2158,Herrenalb,   48.804189,    8.443019,350,Bayern                                  
2167,Niederwörresbach                        ,   49.767176,    7.335605,302,Bayern                                  
2171,Hersfeld,   50.851957,    9.737694,        272.2,Bayern                                  
2201,Hiddensee-Vitte                         ,   54.574971,   13.104427,1,Bayern                                  
2206,Hildesheim                              ,   52.140812,    9.883806,117,Bayern                                  
2211,Hilgenroth                              ,   50.737016,    7.652531,295,Bayern                                  
2228,Hinterzarten                            ,    47.89829,    8.105503,883,Bayern                                  
2244,Höchenschwand                           ,   47.732709,    8.162696,1008,Bayern                                  
2250,Höllenstein (Kraftwerk)                 ,   49.127875,   12.864512,403,Berlin                                  
2260,Hof (Stadt)                             ,   50.323032,   11.907729,474,Berlin                                  
2261,Hof                                     ,   50.312257,   11.876039,        565.2,Berlin                                  
2264,Hofgeismar-Beberbeck                    ,   51.533979,    9.478874,242,Berlin                                  
2268,Hofheim                                 ,   50.135089,   10.515559,265,Berlin                                  
2290,Hohenpeißenberg                         ,   47.800869,   11.010819,        977.2,Brandenburg                             
2323,Bevern,    51.85294,    9.495274,110,Brandenburg                             
2327,Homberg/Ohm                             ,   50.731569,    9.003154,250,Brandenburg                             
2349,Hornisgrinde                            ,   48.613637,    8.203343,       1138.1,Brandenburg                             
2423,Isny                                    ,   47.689421,   10.041633,712,Brandenburg                             
2444,Jena (Sternwarte)                       ,   50.925141,   11.582984,155,Brandenburg                             
2456,Jever                                   ,     53.5322,      7.8806,7,Brandenburg                             
2464,Jork                                    ,   53.531551,    9.675221,1,Brandenburg                             
2480,Kahl/Main                               ,   50.064347,    8.992973,        107.5,Brandenburg                             
2483,Kahler Asten                            ,   51.180254,    8.489068,839,Brandenburg                             
2486,Kaiserslautern                          ,   49.426213,    7.755714,271,Brandenburg                             
2488,Kaisheim-Neuhof                         ,   48.770102,   10.787615,516,Bremen                                  
2497,Kall-Sistig                             ,    50.50141,    6.526408,505,Bremen                                  
2503,Kaltennordheim                          ,   50.626586,   10.145485,487,Bundesland
2521,Karlshuld                               ,   48.676515,   11.296144,374,Hamburg                                 
2522,Karlsruhe                               ,   49.038161,     8.36406,        111.6,Hamburg                                 
2532,Kassel                                  ,   51.296303,    9.442424,231,Hamburg                                 
2559,Kempten                                 ,   47.723263,   10.334786,        705.2,Hamburg                                 
2565,Kiel-Kronshagen                         ,   54.337761,   10.092943,17,Hessen                                  
2578,Kirchdorf/Poel                          ,   53.999513,   11.434142,14,Hessen                                  
2597,Kissingen,   50.223991,   10.079245,        281.8,Hessen                                  
2601,Kleiner Feldberg/Taunus                 ,   50.221797,    8.446883,        822.1,Hessen                                  
2618,Kleiner Inselsberg                      ,   50.845847,   10.480262,732,Hessen                                  
2629,Kleve                                   ,   51.761242,    6.095381,46,Hessen                                  
2638,Klippeneck                              ,   48.105397,    8.754788,        973.5,Hessen                                  
2657,Koblenz-Horchheim                       ,   50.336911,    7.599165,85,Hessen                                  
2667,Köln-Bonn                               ,   50.864559,    7.157488,92,Hessen                                  
2677,Königsfeld/Schwarzwald                  ,   48.141264,    8.428456,730,Hessen                                  
2680,Königshofen,   50.284014,   10.445599,        288.5,Hessen                                  
2693,Königstein/Taunus                       ,    50.18553,    8.469837,380,Hessen                                  
2700,Kösching                                ,   48.830189,   11.487243,416,Hessen                                  
2750,Kronach                                 ,   50.252352,   11.320925,310,Hessen                                  
2761,Krumbach-Edenhausen                     ,   48.250959,   10.416274,520,Hessen                                  
2812,Lahr                                    ,   48.364742,    7.827986,        155.7,Hessen                                  
2814,Merklingen                              ,   48.512173,    9.764396,687,Hessen                                  
2861,Langeoog                                ,    53.74452,    7.477468,5,Hessen                                  
2878,Lauchstädt,    51.39092,   11.878575,        117.4,Hessen                                  
2879,Lauda-Königshofen-Gerlachsheim          ,   49.578104,     9.71416,199,Hessen                                  
2925,Leinefelde                              ,   51.393197,   10.312349,        355.9,Hessen                                  
2928,Leipzig-Holzhausen                      ,    51.31509,   12.446226,138,Hessen                                  
2947,Lennestadt-Theten                       ,   51.133253,    8.034831,286,Hessen                                  
2949,Lenningen-Schopfloch                    ,   48.539622,    9.527497,758,Hessen                                  
2950,Lensahn                                 ,   54.218979,   10.884417,14,Hessen                                  
2953,Lenzkirch-Ruhbühl                       ,   47.859705,    8.230755,854,Hessen                                  
2968,Köln-Stammheim                          ,   50.989428,    6.977688,43,Hessen                                  
3001,Liliental                               ,    48.06737,    7.676963,284,Hessen                                  
3004,Limburg/Lahn-Offheim                    ,   50.411603,    8.060496,185,Hessen                                  
3015,Lindenberg                              ,   52.208489,   14.118032,98,Hessen                                  
3023,Lingen                                  ,   52.518093,    7.308057,22,Hessen                                  
3028,Lippspringe,   51.785416,    8.838795,157,Hessen                                  
3032,List auf Sylt                           ,   55.010989,    8.412531,         24.7,Hessen                                  
3044,Löningen                                ,   52.719795,     7.74721,22,Hessen                                  
3056,Lohr/Main-Steinbach                     ,   50.010254,    9.609971,161,Hessen                                  
3062,Lorch/Rhein                             ,   50.035246,    7.819733,100,Hessen                                  
3093,Lüchow                                  ,   52.972379,   11.137371,         16.2,Hessen                                  
3096,Lüdenscheid (Zeppelin-Gymnasium)        ,   51.213111,    7.635855,444,Hessen                                  
3101,Lüdinghausen                            ,   51.769446,    7.412787,58,Hessen                                  
3103,Lüneburg                                ,   53.265685,   10.424006,11,Hessen                                  
3126,Magdeburg                               ,   52.102896,   11.582674,79,Hessen                                  
3137,Mainz-Lerchenberg (ZDF)                 ,   49.965563,    8.213884,195,Hessen                                  
3147,Mallersdorf-Pfaffenberg-Oberlindhart    ,   48.754812,   12.211827,390,Mecklenburg-Vorpommern                  
3155,Manderscheid-Sonnenhof                  ,   50.101542,    6.800909,413,Mecklenburg-Vorpommern                  
3164,Cölbe,   50.849234,    8.774517,187,Mecklenburg-Vorpommern                  
3166,Marienberg                              ,   50.651055,   13.146876,639,Mecklenburg-Vorpommern                  
3167,Marienberg,   50.662061,    7.960264,        546.7,Mecklenburg-Vorpommern                  
3196,Marnitz                                 ,    53.32222,   11.932143,81,Mecklenburg-Vorpommern                  
3212,Mayen                                   ,   50.324912,    7.230019,230,Mecklenburg-Vorpommern                  
3234,Garsebach bei Meißen                    ,   51.129431,   13.432783,158,Mecklenburg-Vorpommern                  
3244,Memmingen                               ,   47.982065,    10.13838,614,Mecklenburg-Vorpommern                  
3253,Sankt Blasien-Menzenschwand             ,    47.83087,    8.069848,882,Mecklenburg-Vorpommern                  
3257,Mergentheim,   49.477324,    9.762223,        250.5,Mecklenburg-Vorpommern                  
3271,Metten                                  ,    48.85476,   12.918911,314,Mecklenburg-Vorpommern                  
3307,Mittenwald-Buckelwiesen                 ,   47.477866,   11.265311,        983.5,Mecklenburg-Vorpommern                  
3366,Mühldorf                                ,   48.278982,   12.502407,        405.6,Niedersachsen                           
3376,Müncheberg                              ,   52.517588,   14.123226,63,Niedersachsen                           
3379,München-Stadt                           ,   48.163202,   11.542893,        515.4,Niedersachsen                           
3385,München-Nymphenburg                     ,   48.165975,   11.501122,515,Niedersachsen                           
3390,München-Riem                            ,    48.13688,   11.709393,529,Niedersachsen                           
3402,Münsingen-Apfelstetten                  ,   48.385084,    9.483739,        754.5,Niedersachsen                           
3404,Münster                                 ,   51.949426,    7.590559,62,Niedersachsen                           
3425,Murrhardt                               ,    48.97288,    9.571159,344,Niedersachsen                           
3432,Nagold                                  ,   48.567499,    8.717902,380,Niedersachsen                           
3442,Nauheim,   50.357418,    8.750564,        148.5,Niedersachsen                           
3486,Neudenau                                ,   49.293135,    9.272227,212,Niedersachsen                           
3490,Neuenahr,   50.534561,    7.085337,111,Niedersachsen                           
3527,Neukirchen-Hauptschwenda                ,    50.89228,     9.40498,500,Niedersachsen                           
3537,Neumünster                              ,   54.087289,    9.979065,26,Niedersachsen                           
3541,Neunkirchen-Seelscheid-Meisenbach       ,   50.895646,    7.308106,185,Niedersachsen                           
3552,Neuruppin                               ,   52.903704,   12.807205,38,Niedersachsen                           
3565,Neustadt/Aisch                          ,   49.572809,   10.600131,315,Niedersachsen                           
3590,Nidderau-Windecken                      ,   50.233526,    8.892274,180,Niedersachsen                           
3612,Nienburg                                ,   52.671083,     9.22291,25,Niedersachsen                           
3621,Reimlingen                              ,   48.825254,   10.506667,435,Niedersachsen                           
3631,Norderney                               ,   53.712304,    7.151923,         11.5,Niedersachsen                           
3640,Nordhorn-Blanke                         ,   52.412368,    7.063994,24,Niedersachsen                           
3659,Nürburg                                 ,    50.33911,    6.950061,627,Niedersachsen                           
3668,Nürnberg                                ,   49.503031,   11.054923,314,Niedersachsen                           
3671,Nürtingen                               ,   48.632111,    9.326125,280,Niedersachsen                           
3679,Kiefersfelden-Gach                      ,   47.618701,   12.166532,518,Niedersachsen                           
3730,Oberstdorf                              ,   47.398429,   10.275881,        805.8,Niedersachsen                           
3739,Oberviechtach                           ,   49.452096,   12.436546,596,Niedersachsen                           
3753,Ochtrup                                 ,   52.204196,    7.178421,56,Niedersachsen                           
3761,Öhringen                                ,   49.207016,    9.517582,        275.9,Niedersachsen                           
3776,Offenbach/M. (Stadt)                    ,   50.094641,    8.754596,110,Niedersachsen                           
3777,Offenburg                               ,   48.459326,    7.925526,153,Niedersachsen                           
3790,Oldenburg (A)                           ,   53.101795,     8.25155,5,Niedersachsen                           
3815,Osnabrück                               ,   52.255342,    8.053353,         95.4,Niedersachsen                           
3856,Oy-Mittelberg                           ,   47.638329,   10.431279,1010,Niedersachsen                           
3875,Parsberg/Oberpfalz-Eglwang              ,    49.15102,   11.689638,549,Niedersachsen                           
3879,Passau-Oberhaus                         ,   48.577943,   13.469437,409,Niedersachsen                           
3904,Perl-Nennig                             ,   49.535353,    6.378874,152,Niedersachsen                           
3924,Pforzheim-Eutingen                      ,   48.905877,    8.741206,246,Niedersachsen                           
3927,Pfullendorf                             ,   47.934471,     9.28693,        629.5,Niedersachsen                           
3939,Pirmasens                               ,   49.191191,      7.5879,385,Niedersachsen                           
3946,Plauen                                  ,   50.481832,   12.130043,        387.1,Niedersachsen                           
3955,Plön (See)                              ,   54.158983,   10.401996,24,Niedersachsen                           
3974,Pommelsbrunn                            ,   49.505822,     11.5142,368,Niedersachsen                           
3987,Potsdam                                 ,   52.381247,    13.06223,81,Nordrhein-Westfalen                     
3988,Potsdam (Säkularstation)                ,   52.382206,   13.062213,81,Nordrhein-Westfalen                     
4024,Putbus                                  ,   54.364277,   13.477079,         39.5,Nordrhein-Westfalen                     
4032,Quedlinburg                             ,   51.795344,   11.131995,142,Nordrhein-Westfalen                     
4053,Radolfzell-Markelfingen                 ,    47.74575,    9.000658,407,Nordrhein-Westfalen                     
4063,Rahden-Kleinendorf                      ,   52.446122,    8.590574,         40.5,Nordrhein-Westfalen                     
4091,Rauschberg bei Ruhpolding               ,   47.732733,   12.682663,1640,Nordrhein-Westfalen                     
4094,Weingarten,   47.806248,    9.620579,        440.5,Nordrhein-Westfalen                     
4104,Regensburg                              ,   49.042482,   12.101943,        365.4,Nordrhein-Westfalen                     
4125,Reichenhall,   47.723835,   12.874037,470,Nordrhein-Westfalen                     
4169,Rheinau-Memprechtshofen                 ,   48.670276,    7.993861,        130.5,Nordrhein-Westfalen                     
4175,Rheinfelden                             ,   47.558973,    7.772149,        282.5,Nordrhein-Westfalen                     
4222,Rodewisch                               ,   50.526312,   12.409051,464,Nordrhein-Westfalen                     
4240,Roetgen                                 ,   50.640675,    6.205771,440,Nordrhein-Westfalen                     
4261,Rosenheim                               ,   47.875339,   12.127976,442,Nordrhein-Westfalen                     
4271,Rostock-Warnemünde                      ,   54.180279,   12.080806,4,Nordrhein-Westfalen                     
4275,Rotenburg (Wümme)                       ,   53.128845,    9.339751,32,Nordrhein-Westfalen                     
4278,Roth bei Nürnberg                       ,   49.251149,   11.093364,340,Nordrhein-Westfalen                     
4287,Rothenburg ob der Tauber                ,   49.384842,   10.173229,415,Nordrhein-Westfalen                     
4293,Rottach-Egern                           ,   47.681932,   11.771391,747,Nordrhein-Westfalen                     
4301,Kreuznach,   49.850173,    7.871018,102,Nordrhein-Westfalen                     
4336,Saarbrücken-Ensheim                     ,   49.212803,    7.107712,320,Nordrhein-Westfalen                     
4339,Saarbrücken-Sankt Johann                ,   49.223137,    7.016753,193,Nordrhein-Westfalen                     
4347,Sachsa,   51.590937,   10.569098,292,Nordrhein-Westfalen                     
4350,Säckingen,   47.561928,    7.939928,339,Nordrhein-Westfalen                     
4364,Salzgitter-Ringelheim                   ,   52.035526,   10.305442,138,Nordrhein-Westfalen                     
4371,Salzuflen,   52.104207,    8.752053,        134.6,Nordrhein-Westfalen                     
4377,Sandberg                                ,   50.351779,   10.003374,        517.5,Nordrhein-Westfalen                     
4386,Sankt Blasien                           ,   47.761006,    8.124701,795,Nordrhein-Westfalen                     
4390,Sankt Märgen                            ,   48.009078,    8.096604,896,Nordrhein-Westfalen                     
4393,Sankt Peter-Ording                      ,   54.327907,    8.603056,          4.9,Nordrhein-Westfalen                     
4419,Schallstadt-Mengen                      ,    47.95565,    7.713307,212,Nordrhein-Westfalen                     
4466,Schleswig                               ,   54.527539,    9.548666,         42.7,Nordrhein-Westfalen                     
4477,Schluchsee                              ,     47.8208,    8.185992,993,Nordrhein-Westfalen                     
4490,Schmelz-Hüttersdorf                     ,   49.414918,    6.836007,223,Nordrhein-Westfalen                     
4508,Schneifelforsthaus                      ,   50.296848,    6.419387,649,Nordrhein-Westfalen                     
4517,Schömberg,   48.785891,    8.645121,635,Nordrhein-Westfalen                     
4557,Schopfheim-Eichen                       ,   47.646351,    7.843961,399,Rheinland-Pfalz                         
4560,Schotten                                ,   50.492508,    9.122558,265,Rheinland-Pfalz                         
4581,Schwäbisch Gmünd-Strassdorf             ,   48.776796,    9.802456,415,Rheinland-Pfalz                         
4592,Schwandorf                              ,   49.327835,   12.087053,356,Rheinland-Pfalz                         
4597,Schwangau-Horn                          ,   47.576937,    10.71814,792,Rheinland-Pfalz                         
4605,Schwarzburg                             ,    50.64406,   11.193618,277,Rheinland-Pfalz                         
4621,Schweinfurt-Gartenstadt                 ,   50.057452,   10.215981,240,Rheinland-Pfalz                         
4625,Schwerin                                ,   53.642425,   11.387095,59,Rheinland-Pfalz                         
4651,Seesen                                  ,   51.903973,   10.188523,186,Rheinland-Pfalz                         
4664,Selb/Oberfranken-Wildenau               ,   50.196948,   12.172692,611,Rheinland-Pfalz                         
4692,Siegen (Kläranlage)                     ,   50.853381,    7.996614,229,Rheinland-Pfalz                         
4703,Sigmaringen-Laiz                        ,   48.071864,    9.194326,        580.5,Rheinland-Pfalz                         
4709,Simmern-Wahlbach                        ,    49.99959,     7.59812,445,Rheinland-Pfalz                         
4741,Solingen-Hohenscheid                    ,    51.14004,    7.092982,152,Rheinland-Pfalz                         
4745,Soltau                                  ,   52.960408,    9.793049,         75.4,Rheinland-Pfalz                         
4748,Sondershausen                           ,   51.352007,   10.905861,221,Rheinland-Pfalz                         
4752,Sonneberg-Neufang                       ,   50.374621,   11.182835,626,Rheinland-Pfalz                         
4763,Sontra                                  ,   51.060686,    9.926618,265,Rheinland-Pfalz                         
4818,Stammbach-Querenbach                    ,   50.153146,   11.740168,597,Rheinland-Pfalz                         
4887,Stötten                                 ,   48.665587,    9.864791,        733.8,Rheinland-Pfalz                         
4928,Stuttgart (Schnarrenberg)               ,   48.828085,    9.200028,        314.3,Rheinland-Pfalz                         
4931,Stuttgart-Echterdingen                  ,   48.688265,    9.223548,371,Rheinland-Pfalz                         
5009,Teterow                                 ,   53.761054,   12.557389,33,Rheinland-Pfalz                         
5014,Worpswede-Hüttenbusch                   ,   53.275827,    8.985687,7,Rheinland-Pfalz                         
5017,Teuschnitz                              ,   50.400246,    11.38883,633,Rheinland-Pfalz                         
